# reddened comparison amplitude "ampl. left unc." "ampl. right unc." alpha "alpha left unc." "alpha right unc." AV "AV left unc." "AV right unc." EBV "EBV left unc." "EBV right unc." RV "RV left unc." "RV right unc."
BD+56d524 HD034816 0.3936293268643452 0.001310349814875211 0.001354836149606686 1.662136650305622 0.01427165305049205 0.0139410410546883 1.753111939842042 0.00338257812369247 0.00345865678804036 0.5902077970263935 0.03760838678493028 0.03704727256775975 2.970115478126555 0.1752800491283191 0.2025186116006004
HD013338 HD031726 0.4354693230684047 0.001547330495902444 0.001606479964588958 1.688647255688219 0.01513068931707062 0.01556981238588406 1.383203008192233 0.003559495005498237 0.003561891333000444 0.4458269110243783 0.01422958674873059 0.01441769238193175 3.10235125379889 0.09718548877497213 0.102659662023135
HD014956 HD188209 0.3571874740837302 0.001042561322495417 0.001047152982634914 1.47470839439831 0.01064938197688337 0.01083813287459923 2.279651074686392 0.003178592108421086 0.003266285068038943 0.7901215576901142 0.04830183958328749 0.04893475067004416 2.885228209574536 0.1681761853993247 0.187946085222376
HD017505 HD214680 0.2055218208577498 0.001073620605092168 0.001103739251187424 2.260366900584164 0.02251302049126425 0.02283391305739757 1.500367841276004 0.001544198040517308 0.001583675905999282 0.5998875440923306 0.03724024181629748 0.03729135186544519 2.500722681939508 0.1462313583755366 0.1656836391102865
HD029309 HD042560 0.4848272808865133 0.001063628980320697 0.001070798284279251 1.41222618072499 0.01005395126911846 0.009905086291188692 2.023280862531284 0.003629980862210669 0.00358335255574449 0.4898809139292835 0.04531458530108246 0.04608174732033299 4.129907037439093 0.3554527105288807 0.421707623735859
HD029647 HD042560 0.3714731042826183 0.000512936841875866 0.000517711060847414 2.078133986329596 0.007064102465004662 0.006862550697630976 3.639134475981242 0.00201826441994557 0.00204361003771858 1.08019855024215 0.05210692430972075 0.05157681562986083 3.368910469753843 0.1532745241967421 0.170797672781879
HD037061 HD034816 0.4572010118384451 0.000668559488037623 0.000670916258599996 1.364946730340486 0.005870409825819323 0.005762768480199965 2.51379232423103 0.002632890235485963 0.002731195163475864 0.5098327270525281 0.03702988980727667 0.03759532045555181 4.930855131938165 0.3388956432201686 0.3862230701779019
HD038087 HD034816 0.5297872063535372 0.000947082390364895 0.000938303351909253 1.10386452915033 0.006272624414553674 0.006462135679854208 2.290363245214748 0.004295690545598863 0.004229285754961509 0.3701037774372646 0.03735165309854571 0.03733699317892547 6.189609709933309 0.5678657406328096 0.6936249917189858
HD156247 HD031726 0.4554654882424184 0.003159853201251672 0.003136827454611524 1.447871297427551 0.02769589473762801 0.02853530429312534 1.053524581953551 0.00521387699032072 0.005236079845610808 0.255834567663389 0.05596403723791787 0.05610722358582276 4.117167997149723 0.7403170149057736 1.155267701356117
HD166734 HD188209 0.3406187561983223 0.000466373606536285 0.000463665021899928 1.722648576704659 0.005811857040177948 0.005838082916685083 3.615171478104324 0.002132276916252174 0.002206163017262064 1.160119580085233 0.03828827166250037 0.03877788045744479 3.11611661684504 0.1007331013379571 0.1066372585077739
HD183143 HD188209 0.3708006468878881 0.000341225225451102 0.0003573210146669 1.869832263605089 0.004607827589088842 0.0044524994489481 3.853649322386342 0.00161886068040884 0.001610799791853523 1.309850710524026 0.03692552379209757 0.03694645473674973 2.94204105680129 0.08074475033750961 0.08516764220261042
HD185418 HD034816 0.3223636074188349 0.001434183457444893 0.001418798804886545 2.057366707086594 0.02027506476631968 0.01998311499945027 1.220937392494797 0.002015614232435681 0.002064517121967313 0.4700375669586752 0.03685600719494952 0.0371053933679617 2.597657882074577 0.1900674792817574 0.2211006055661606
HD192660 HD204172 0.400005590592686 0.001193189790721749 0.001188256504145224 1.693040578176155 0.01359114785678317 0.01358168097748358 1.887990953953691 0.002906920447876438 0.003051649784331811 0.8699610252630555 0.04447756631768562 0.04469132152699817 2.170311933740749 0.1061886084613413 0.1170600245227962
HD204827 HD204172 0.3001472228981196 0.000658345682709005 0.000676096256340186 2.353484424312035 0.01103074634198586 0.01133766106320699 1.95137794256101 0.001240004686473117 0.00126758662908677 0.8898665822992555 0.03566270260195559 0.03576501159410805 2.19293876381291 0.08470961964557366 0.0913628237406865
HD229238 HD214680 0.3407712082665866 0.000465074670106369 0.000475917024336303 1.989324360636122 0.006188436996405589 0.006428110203007709 2.987049710838706 0.001609204716074064 0.001576018767204701 1.100470805202634 0.03888260951614364 0.03819676337587552 2.714253668918114 0.09093240969624983 0.09958226116887214
HD283809 HD003360 0.3771751895069365 0.00035216471541899 0.000352273182036233 2.031015792334634 0.004815443939936159 0.004615530742868579 5.557206325905511 0.002260058782532326 0.002251547639882112 1.609759676595781 0.05676814982650114 0.05641239265250286 3.452123867422276 0.1169817455037991 0.1262706524855628
HD294264 HD034759 0.5537624403872264 0.000729859041094127 0.000726565758536801 1.164625347601697 0.005103999012722626 0.005001745623199882 2.90012135822504 0.004298429649449709 0.004394669042846466 0.5000322658816603 0.03179225696220989 0.03195668981672251 5.799912339998679 0.3483009408102173 0.3939112596609364
