
Freq.	Trans.
399.26	0
401.19	-.0017602
403.12	-.0022488
405.05	-.0062533
406.98	-.0075298
408.9	-.0048235
410.83	.0008199
412.76	.0087399
414.69	.0092714
416.62	-.0043956
418.55	-.021295
420.48	-.023301
422.41	-.021478
424.33	-.025657
426.26	-.024884
428.19	-.023011
430.12	-.026423
432.05	-.030344
433.98	-.036486
435.91	-.048466
437.84	-.058801
439.76	-.059958
441.69	-.056017
443.62	-.053568
445.55	-.056548
447.48	-.060858
449.41	-.055443
451.34	-.045136
453.27	-.048941
455.2	-.064712
457.12	-.074227
459.05	-.075787
460.98	-.075566
462.91	-.07678
464.84	-.082476
466.77	-.088979
468.7	-.088516
470.63	-.083753
472.55	-.086862
474.48	-.095862
476.41	-.097689
478.34	-.092685
480.27	-.088515
482.2	-.08487
484.13	-.080123
486.06	-.075465
487.99	-.070076
489.91	-.066469
491.84	-.065264
493.77	-.061219
495.7	-.054493
497.63	-.04776
499.56	-.041379
501.49	-.037424
503.42	-.036202
505.34	-.034503
507.27	-.031639
509.2	-.02698
511.13	-.020774
513.06	-.016898
514.99	-.015012
516.92	-.013021
518.85	-.011059
520.78	-.007783
522.7	-.0028175
524.63	.0036712
526.56	.012269
528.49	.017997
530.42	.015588
532.35	.012418
534.28	.015936
536.21	.02058
538.13	.022083
540.06	.022132
541.99	.022225
543.92	.02411
545.85	.028401
547.78	.032941
549.71	.036379
551.64	.039623
553.57	.042915
555.49	.045065
557.42	.045457
559.35	.045354
561.28	.046735
563.21	.050375
565.14	.056292
567.07	.066518
569	.077524
570.92	.078742
572.85	.072928
574.78	.070406
576.71	.072341
578.64	.077058
580.57	.082218
582.5	.085318
584.43	.087762
586.36	.09101
588.28	.093734
590.21	.096173
592.14	.10068
594.07	.10665
596	.11176
597.93	.11497
599.86	.11636
601.79	.11909
603.71	.12462
605.64	.1287
607.57	.13226
609.5	.1394
611.43	.14551
613.36	.14795
615.29	.15102
617.22	.15561
619.14	.16018
621.07	.16386
623	.16827
624.93	.17546
626.86	.18384
628.79	.19063
630.72	.19441
632.65	.19637
634.58	.19907
636.5	.20318
638.43	.20771
640.36	.21314
642.29	.21936
644.22	.22304
646.15	.22516
648.08	.23105
650.01	.2395
651.93	.24515
653.86	.24708
655.79	.24753
657.72	.24932
659.65	.25332
661.58	.25755
663.51	.26287
665.44	.2684
667.37	.26822
669.29	.26767
671.22	.27596
673.15	.28352
675.08	.28684
677.01	.29
678.94	.29405
680.87	.29917
682.8	.30448
684.72	.3037
686.65	.29871
688.58	.29839
690.51	.30312
692.44	.30846
694.37	.31284
696.3	.31578
698.23	.31749
700.16	.31869
702.08	.31767
704.01	.31597
705.94	.31794
707.87	.32161
709.8	.32232
711.73	.32076
713.66	.32145
715.59	.32533
717.51	.32962
719.44	.33241
721.37	.33086
723.3	.32473
725.23	.31868
727.16	.31576
729.09	.31469
731.02	.3148
732.95	.31642
734.87	.31578
736.8	.31182
738.73	.31076
740.66	.31354
742.59	.31357
744.52	.3114
746.45	.31339
748.38	.31826
750.3	.31999
752.23	.31707
754.16	.31307
756.09	.30907
758.02	.30351
759.95	.30146
761.88	.30591
763.81	.30873
765.73	.30689
767.66	.30554
769.59	.30315
771.52	.29786
773.45	.2942
775.38	.29349
777.31	.2926
779.24	.28924
781.17	.28622
783.09	.28545
785.02	.28347
786.95	.28184
788.88	.28359
790.81	.28283
792.74	.27734
794.67	.27343
796.6	.27071
798.52	.26368
800.45	.25444
802.38	.25035
804.31	.25404
806.24	.25974
808.17	.25944
810.1	.25332
812.03	.2479
813.96	.2455
815.88	.24396
817.81	.24139
819.74	.23703
821.67	.23207
823.6	.22902
825.53	.22918
827.46	.22929
829.39	.22403
831.31	.21504
833.24	.20849
835.17	.20663
837.1	.20716
839.03	.20663
840.96	.20425
842.89	.20002
844.82	.19307
846.74	.18631
848.67	.18091
850.6	.17194
852.53	.15979
854.46	.15235
856.39	.15198
858.32	.15189
860.25	.14675
862.18	.13731
864.1	.12632
866.03	.11841
867.96	.11575
869.89	.11313
871.82	.10626
873.75	.097684
875.68	.090117
877.61	.083014
879.53	.075756
881.46	.068128
883.39	.060439
885.32	.053582
887.25	.046057
889.18	.036145
891.11	.025778
893.04	.016739
894.97	.0083622
896.89	.000046
898.82	-.0089807
900.75	-.019703
902.68	-.030432
904.61	-.039057
906.54	-.047216
908.47	-.058331
910.4	-.072649
912.32	-.086833
914.25	-.098864
916.18	-.10972
918.11	-.11987
920.04	-.12951
