Freq. Trans.
4.49895E+02  2.16316E-04
4.50377E+02 -2.77429E-04
4.50860E+02 -3.70712E-04
4.51342E+02 -5.22102E-04
4.51824E+02 -6.04529E-04
4.52306E+02 -4.70329E-04
4.52788E+02 -4.16843E-04
4.53271E+02 -3.02961E-04
4.53753E+02 -3.36420E-04
4.54235E+02 -5.07720E-04
4.54717E+02 -6.52605E-04
4.55199E+02 -7.36831E-04
4.55682E+02 -7.19951E-04
4.56164E+02 -7.21782E-04
4.56646E+02 -3.82997E-04
4.57128E+02 -2.87225E-04
4.57611E+02 -5.50250E-04
4.58093E+02 -5.77858E-04
4.58575E+02 -5.54442E-04
4.59057E+02 -6.60192E-04
4.59539E+02 -5.91647E-04
4.60022E+02 -5.57856E-04
4.60504E+02 -4.89288E-04
4.60986E+02 -4.61390E-04
4.61468E+02 -4.48497E-04
4.61950E+02 -4.39005E-04
4.62433E+02 -2.55579E-04
4.62915E+02 -1.64414E-04
4.63397E+02 -1.19045E-03
4.63879E+02 -1.70203E-03
4.64361E+02 -1.23051E-03
4.64844E+02 -9.82226E-04
4.65326E+02 -8.24118E-04
4.65808E+02 -7.35592E-04
4.66290E+02 -8.51354E-04
4.66772E+02 -8.86021E-04
4.67255E+02 -8.47988E-04
4.67737E+02 -9.51407E-04
4.68219E+02 -1.01861E-03
4.68701E+02 -9.30075E-04
4.69183E+02 -9.23405E-04
4.69666E+02 -8.90424E-04
4.70148E+02 -1.90834E-04
4.70630E+02 -1.40309E-04
4.71112E+02 -8.47235E-04
4.71594E+02 -9.45712E-04
4.72077E+02 -8.83303E-04
4.72559E+02 -8.25165E-04
4.73041E+02 -6.59067E-04
4.73523E+02 -5.12750E-04
4.74005E+02 -5.30954E-04
4.74488E+02 -7.27585E-04
4.74970E+02 -6.55209E-04
4.75452E+02 -7.65192E-04
4.75934E+02 -6.87069E-04
4.76416E+02 -5.09193E-04
4.76899E+02 -8.26012E-04
4.77381E+02 -7.15690E-04
4.77863E+02 -6.03372E-04
4.78345E+02 -7.27555E-04
4.78827E+02 -6.33137E-04
4.79310E+02 -6.67043E-04
4.79792E+02 -6.25214E-04
4.80274E+02 -5.22187E-04
4.80756E+02 -7.78470E-04
4.81238E+02 -7.97998E-04
4.81721E+02 -4.69027E-04
4.82203E+02 -4.69550E-04
4.82685E+02 -4.54277E-04
4.83167E+02 -3.89009E-04
4.83649E+02 -4.61556E-04
4.84132E+02 -4.41405E-04
4.84614E+02 -3.43326E-04
4.85096E+02 -3.72641E-04
4.85578E+02 -6.02722E-04
4.86060E+02 -6.82419E-04
4.86543E+02 -6.31104E-04
4.87025E+02 -6.93412E-04
4.87507E+02 -5.74443E-04
4.87989E+02 -4.57988E-04
4.88471E+02 -4.07675E-04
4.88954E+02 -3.87673E-04
4.89436E+02 -4.53871E-04
4.89918E+02 -5.48810E-04
4.90400E+02 -5.39277E-04
4.90883E+02 -6.80909E-04
4.91365E+02 -3.15894E-03
4.91847E+02 -3.31424E-03
4.92329E+02 -1.21530E-03
4.92811E+02 -1.06866E-03
4.93294E+02 -8.94360E-04
4.93776E+02 -8.78258E-04
4.94258E+02 -9.58852E-04
4.94740E+02 -7.20074E-04
4.95222E+02 -6.37032E-04
4.95705E+02 -6.60254E-04
4.96187E+02 -5.88054E-04
4.96669E+02 -7.70496E-04
4.97151E+02 -7.69773E-04
4.97633E+02 -6.89302E-04
4.98116E+02 -5.55776E-04
4.98598E+02 -3.69939E-04
4.99080E+02 -4.81852E-04
4.99562E+02 -4.60468E-04
5.00044E+02 -5.25055E-04
5.00527E+02 -7.07287E-04
5.01009E+02 -6.16096E-04
5.01491E+02 -6.11912E-04
5.01973E+02 -6.94377E-04
5.02455E+02 -6.86893E-04
5.02938E+02 -6.53151E-04
5.03420E+02 -5.75962E-04
5.03902E+02 -6.19829E-04
5.04384E+02 -7.29779E-04
5.04866E+02 -5.19739E-04
5.05349E+02 -4.39212E-06
5.05831E+02 -4.15668E-05
5.06313E+02 -5.28179E-04
5.06795E+02 -6.57575E-04
5.07277E+02 -6.19754E-04
5.07760E+02 -6.41081E-04
5.08242E+02 -6.76695E-04
5.08724E+02 -6.09757E-04
5.09206E+02 -5.90827E-04
5.09688E+02 -7.28682E-04
5.10171E+02 -7.13976E-04
5.10653E+02 -5.92178E-04
5.11135E+02 -5.60438E-04
5.11617E+02 -5.65713E-04
5.12099E+02 -5.47320E-04
5.12582E+02 -6.04531E-04
5.13064E+02 -6.04503E-04
5.13546E+02 -5.04754E-04
5.14028E+02 -5.57929E-04
5.14510E+02 -5.24307E-04
5.14993E+02 -5.77901E-04
5.15475E+02 -6.80687E-04
5.15957E+02 -6.35900E-04
5.16439E+02 -6.37094E-04
5.16921E+02 -5.44576E-04
5.17404E+02 -6.47586E-04
5.17886E+02 -6.57430E-04
5.18368E+02 -5.12587E-04
5.18850E+02 -4.79510E-04
5.19332E+02 -8.99564E-05
5.19815E+02 -3.86536E-04
5.20297E+02 -7.69082E-04
5.20779E+02 -6.73886E-04
5.21261E+02 -7.17897E-04
5.21743E+02 -6.28846E-04
5.22226E+02 -6.25646E-04
5.22708E+02 -5.97864E-04
5.23190E+02 -6.03227E-04
5.23672E+02 -6.70202E-04
5.24154E+02 -5.83475E-04
5.24637E+02 -5.34231E-04
5.25119E+02 -5.21803E-04
5.25601E+02 -6.02460E-04
5.26083E+02 -4.70763E-04
5.26565E+02 -6.12348E-04
5.27048E+02 -9.69559E-04
5.27530E+02 -8.35147E-04
5.28012E+02 -7.28412E-04
5.28494E+02 -6.75185E-04
5.28977E+02 -6.82281E-04
5.29459E+02 -7.08804E-04
5.29941E+02 -6.49681E-04
5.30423E+02 -6.17901E-04
5.30905E+02 -6.65868E-04
5.31388E+02 -6.79493E-04
5.31870E+02 -7.01832E-04
5.32352E+02 -6.75550E-04
5.32834E+02 -6.84703E-04
5.33316E+02 -6.82496E-04
5.33799E+02 -4.71858E-04
5.34281E+02 -5.41778E-04
5.34763E+02 -5.62614E-04
5.35245E+02 -4.89781E-04
5.35727E+02 -6.24159E-04
5.36210E+02 -6.34931E-04
5.36692E+02 -6.00385E-04
5.37174E+02 -5.86724E-04
5.37656E+02 -6.34141E-04
5.38138E+02 -6.51389E-04
5.38621E+02 -6.50426E-04
5.39103E+02 -7.16915E-04
5.39585E+02 -6.94055E-04
5.40067E+02 -6.25914E-04
5.40549E+02 -6.35857E-04
5.41032E+02 -5.70849E-04
5.41514E+02 -4.62398E-04
5.41996E+02 -5.10972E-04
5.42478E+02 -5.78010E-04
5.42960E+02 -5.65184E-04
5.43443E+02 -6.46610E-04
5.43925E+02 -6.69910E-04
5.44407E+02 -5.96426E-04
5.44889E+02 -5.66794E-04
5.45371E+02 -6.49786E-04
5.45854E+02 -6.60310E-04
5.46336E+02 -5.63530E-04
5.46818E+02 -5.04678E-04
5.47300E+02 -4.06740E-04
5.47782E+02 -6.33683E-04
5.48265E+02 -7.69746E-04
5.48747E+02 -6.12495E-04
5.49229E+02 -6.26724E-04
5.49711E+02 -6.34586E-04
5.50193E+02 -6.36488E-04
5.50676E+02 -6.37179E-04
5.51158E+02 -6.57083E-04
5.51640E+02 -7.08042E-04
5.52122E+02 -6.01551E-04
5.52604E+02 -5.79264E-04
5.53087E+02 -6.66743E-04
5.53569E+02 -6.82827E-04
5.54051E+02 -6.95543E-04
5.54533E+02 -7.27177E-04
5.55016E+02 -7.73136E-04
5.55498E+02 -7.04007E-04
5.55980E+02 -7.42242E-04
5.56462E+02 -7.96260E-04
5.56944E+02 -6.76049E-04
5.57427E+02 -6.46099E-04
5.57909E+02 -7.37021E-04
5.58391E+02 -6.84515E-04
5.58873E+02 -6.51147E-04
5.59355E+02 -6.50648E-04
5.59838E+02 -6.18853E-04
5.60320E+02 -6.13587E-04
5.60802E+02 -5.36513E-04
5.61284E+02 -3.62331E-04
5.61766E+02 -5.66952E-04
5.62249E+02 -9.08429E-04
5.62731E+02 -8.54935E-04
5.63213E+02 -8.11597E-04
5.63695E+02 -8.14451E-04
5.64177E+02 -7.54710E-04
5.64660E+02 -6.91812E-04
5.65142E+02 -7.46358E-04
5.65624E+02 -8.00082E-04
5.66106E+02 -7.83822E-04
5.66588E+02 -7.66458E-04
5.67071E+02 -7.21050E-04
5.67553E+02 -6.95186E-04
5.68035E+02 -7.07690E-04
5.68517E+02 -7.40489E-04
5.68999E+02 -8.22727E-04
5.69482E+02 -8.01491E-04
5.69964E+02 -8.46608E-04
