# Data taken from the Leiden Laboratory Ice Database
# Paper: Öberg et al, DOI: 10.1051/0004-6361:20065881

# Pure H2O (10000 L) - 15 K
# https://icedb.strw.leidenuniv.nl/data/13

Freq. Trans.
399.264 -0.0334679
400.228 -0.0549533
401.193 -0.0170572
402.157 0.000132936
403.122 -0.00602874
404.086 -0.00873979
405.050 -0.0116995
406.015 -0.00976412
406.979 -0.00507774
407.944 -0.00940992
408.908 -0.0142747
409.872 -0.0117928
410.837 -0.00878409
411.801 -0.00754303
412.766 0.00358836
413.730 0.0225550
414.694 -0.0126383
415.659 -0.0438973
416.623 -0.0289648
417.588 -0.0250502
418.552 -0.0246747
419.516 -0.0266390
420.481 -0.0281332
421.445 -0.0117034
422.410 -0.00192142
423.374 -0.0127267
424.339 -0.0138173
425.303 -0.0118034
426.267 -0.0136635
427.232 -0.0179373
428.196 -0.0131085
429.161 -0.00462090
430.125 -0.0100265
431.089 -0.0160855
432.054 -0.0147314
433.018 -0.0145036
433.983 -0.00773455
434.947 -0.000456155
435.911 -0.00949537
436.876 -0.0143142
437.840 -0.0126178
438.805 -0.0132326
439.769 -0.0145929
440.733 -0.0166659
441.698 -0.0147805
442.662 -0.00376143
443.627 -0.00457808
444.591 -0.0101175
445.555 -0.0101269
446.520 -0.0106301
447.484 -0.0118635
448.449 -0.0120368
449.413 -0.00992833
450.377 -0.0125052
451.342 -0.0124207
452.306 -0.0109338
453.271 -0.0110206
454.235 -0.0114740
455.199 -0.0113789
456.164 -0.0129975
457.128 -0.0147762
458.093 -0.0129841
459.057 -0.0123774
460.022 -0.0122966
460.986 -0.0113388
461.950 -0.0112659
462.915 -0.0103629
463.879 -0.0104750
464.844 -0.0106558
465.808 -0.0104049
466.772 -0.0104255
467.737 -0.0103970
468.701 -0.0105038
469.666 -0.00976991
470.630 -0.0126541
471.594 -0.0133883
472.559 -0.0113070
473.523 -0.0107602
474.488 -0.0101977
475.452 -0.00966412
476.416 -0.0108289
477.381 -0.0130202
478.345 -0.0107707
479.310 -0.00797984
480.274 -0.00814130
481.238 -0.00893746
482.203 -0.00955421
483.167 -0.00933055
484.132 -0.00933949
485.096 -0.00841725
486.060 -0.00755991
487.025 -0.00876412
487.989 -0.00970922
488.954 -0.00982247
489.918 -0.0117515
490.883 -0.0153739
491.847 -0.00955593
492.811 -0.00421375
493.776 -0.00565727
494.740 -0.00593060
495.705 -0.00656860
496.669 -0.00636893
497.633 -0.00743696
498.598 -0.0100658
499.562 -0.00872592
500.527 -0.00706647
501.491 -0.00702720
502.455 -0.00635151
503.420 -0.00642633
504.384 -0.00684967
505.349 -0.00639754
506.313 -0.00526361
507.277 -0.00523083
508.242 -0.00512041
509.206 -0.00536715
510.171 -0.00497545
511.135 -0.00410448
512.099 -0.00494933
513.064 -0.00544365
514.028 -0.00525997
514.993 -0.00486394
515.957 -0.00441637
516.921 -0.00490958
517.886 -0.00479864
518.850 -0.00416640
519.815 -0.00424957
520.779 -0.00440917
521.743 -0.00416987
522.708 -0.00399258
523.672 -0.00354624
524.637 -0.00418174
525.601 -0.00412470
526.565 -0.00174563
527.530 -0.00221697
528.494 -0.00365515
529.459 -0.00352603
530.423 -0.00412788
531.388 -0.00418659
532.352 -0.00440287
533.316 -0.00296559
534.281 -0.000796440
