# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# H2O - 10 K
# http://www.astrochem.org/data/H2O.php

Freq.	%T,10K	Freq. 	n, 10K	k, 10K
#(cm-1)			(cm-1)
50.153	100.03	50.153	1.7329	0.0000
51.117	100.05	52.082	1.7322	0.019900
52.082	99.929	54.011	1.7355	0.0000
53.046	100.05	55.940	1.7439	0.017200
54.011	100.02	57.869	1.7426	0.019200
54.975	99.992	59.798	1.7331	0.036300
55.940	99.933	61.727	1.7325	0.0000
56.904	99.898	63.656	1.7486	0.0000
57.869	99.923	65.585	1.7683	0.0000
58.833	99.791	67.514	1.7844	0.023800
59.798	99.853	69.442	1.7788	0.058500
60.762	99.745	71.371	1.7654	0.059500
61.727	99.999	73.300	1.7653	0.047700
62.691	99.928	75.229	1.7651	0.067600
63.656	100.00	77.158	1.7499	0.075400
64.620	99.845	79.087	1.7630	0.020500
65.585	100.02	81.016	1.7712	0.087500
66.549	99.847	82.945	1.7539	0.070900
67.514	99.885	84.874	1.7558	0.054000
68.478	99.717	86.803	1.7704	0.043700
69.442	99.718	88.732	1.7859	0.059700
70.406	99.659	90.661	1.7773	0.097700
71.371	99.708	92.590	1.7732	0.060800
72.335	99.757	94.519	1.7890	0.068000
73.300	99.758	96.448	1.7893	0.093600
74.264	99.819	98.377	1.7951	0.069600
75.229	99.651	100.31	1.8050	0.099000
76.193	99.749	102.24	1.8095	0.094800
77.158	99.605	104.16	1.8263	0.10490
78.122	99.775	106.09	1.8051	0.18930
79.087	99.884	108.02	1.7788	0.12860
80.051	99.849	109.95	1.7909	0.12180
81.016	99.513	111.88	1.8007	0.12980
81.980	99.598	113.81	1.8070	0.13760
82.945	99.599	115.74	1.8099	0.14990
83.909	99.660	117.67	1.8160	0.14960
84.874	99.685	119.59	1.8197	0.17150
85.838	99.590	121.52	1.8215	0.17710
86.803	99.735	123.45	1.8213	0.19840
87.767	99.568	125.38	1.8189	0.20520
88.732	99.629	127.31	1.8174	0.22160
89.696	99.317	129.24	1.8121	0.23670
90.661	99.390	131.17	1.8050	0.24910
91.625	99.379	133.10	1.7939	0.26460
92.590	99.609	135.03	1.7844	0.26340
93.554	99.465	136.96	1.7767	0.27540
94.519	99.550	138.88	1.7680	0.27290
95.483	99.322	140.81	1.7637	0.28010
96.448	99.372	142.74	1.7569	0.28500
97.412	99.481	144.67	1.7530	0.28420
98.377	99.518	146.60	1.7483	0.29510
99.341	99.555	148.53	1.7453	0.29160
100.31	99.303	150.46	1.7411	0.30840
101.27	99.413	152.39	1.7352	0.30660
102.24	99.317	154.32	1.7317	0.31810
103.20	99.475	156.24	1.7220	0.32560
104.16	99.223	158.17	1.7179	0.32340
105.13	99.127	160.10	1.7120	0.33860
106.09	98.610	162.03	1.7026	0.34110
107.06	99.021	163.96	1.6931	0.34850
108.02	99.046	165.89	1.6843	0.34610
108.99	99.107	167.82	1.6777	0.34920
109.95	99.072	169.75	1.6723	0.34740
110.91	99.133	171.68	1.6692	0.34970
111.88	98.989	173.61	1.6648	0.35700
112.84	98.858	175.53	1.6596	0.35520
113.81	98.907	177.46	1.6539	0.36830
114.77	98.715	179.39	1.6511	0.35680
115.74	98.789	181.32	1.6505	0.37540
116.70	98.621	183.25	1.6425	0.38320
117.67	98.766	185.18	1.6346	0.38970
118.63	98.502	187.11	1.6250	0.39900
119.59	98.564	189.04	1.6153	0.40160
120.56	98.348	190.97	1.6044	0.41110
121.52	98.493	192.90	1.5937	0.41070
122.49	98.313	194.82	1.5830	0.41370
123.45	98.290	196.75	1.5732	0.41860
124.42	98.171	198.68	1.5639	0.41680
125.38	98.208	200.61	1.5539	0.42510
126.35	98.209	202.54	1.5427	0.42400
127.31	98.041	204.47	1.5317	0.42930
128.28	98.006	206.40	1.5212	0.42700
129.24	97.887	208.33	1.5095	0.43480
130.20	97.996	210.26	1.4970	0.43320
131.17	97.756	212.18	1.4830	0.43530
132.13	97.805	214.11	1.4693	0.43740
133.10	97.601	216.04	1.4544	0.43450
134.06	97.771	217.97	1.4392	0.43390
135.03	97.591	219.90	1.4239	0.42800
135.99	97.652	221.83	1.4086	0.42430
136.96	97.461	223.76	1.3928	0.41530
