Freq. Trans.
4.49413E+02  6.46383E-04
4.49895E+02  3.87312E-04
4.50377E+02  1.26361E-04
4.50860E+02  5.01140E-05
4.51342E+02  1.17042E-04
4.51824E+02  1.90100E-04
4.52306E+02  2.78997E-04
4.52788E+02  4.62354E-04
4.53271E+02  6.76293E-04
4.53753E+02  8.41299E-04
4.54235E+02  1.13983E-03
4.54717E+02  1.80663E-03
4.55199E+02  2.54407E-03
4.55682E+02  2.49880E-03
4.56164E+02  1.15071E-03
4.56646E+02 -9.03662E-04
4.57128E+02 -2.38480E-03
4.57611E+02 -2.58190E-03
4.58093E+02 -1.92791E-03
4.58575E+02 -1.28882E-03
4.59057E+02 -9.75702E-04
4.59539E+02 -6.86262E-04
4.60022E+02 -2.37989E-04
4.60504E+02  7.23805E-05
4.60986E+02  7.86828E-06
4.61468E+02 -2.35634E-05
4.61950E+02  6.45344E-04
4.62433E+02  1.93463E-03
4.62915E+02  2.78330E-03
4.63397E+02  2.21220E-03
4.63879E+02  4.60023E-04
4.64361E+02 -1.23232E-03
4.64844E+02 -1.90355E-03
4.65326E+02 -1.65902E-03
4.65808E+02 -1.20804E-03
4.66290E+02 -9.72124E-04
4.66772E+02 -8.55981E-04
4.67255E+02 -6.63475E-04
4.67737E+02 -4.11204E-04
4.68219E+02 -2.38742E-04
4.68701E+02 -2.27171E-04
4.69183E+02 -3.61882E-04
4.69666E+02 -5.50678E-04
4.70148E+02 -6.49179E-04
4.70630E+02 -5.57760E-04
4.71112E+02 -3.28732E-04
4.71594E+02 -1.19505E-04
4.72077E+02 -2.78233E-05
4.72559E+02 -7.80681E-06
4.73041E+02  5.71497E-05
4.73523E+02  2.35425E-04
4.74005E+02  4.70251E-04
4.74488E+02  5.98779E-04
4.74970E+02  5.35974E-04
4.75452E+02  5.00458E-04
4.75934E+02  9.14921E-04
4.76416E+02  1.88551E-03
4.76899E+02  2.84837E-03
4.77381E+02  2.99302E-03
4.77863E+02  2.10709E-03
4.78345E+02  8.38104E-04
4.78827E+02  1.17151E-05
4.79310E+02 -1.63821E-04
4.79792E+02 -8.59215E-05
4.80274E+02 -1.36953E-04
4.80756E+02 -3.17664E-04
4.81238E+02 -4.37026E-04
4.81721E+02 -4.34124E-04
4.82203E+02 -4.28637E-04
4.82685E+02 -5.52931E-04
4.83167E+02 -7.87385E-04
4.83649E+02 -9.20429E-04
4.84132E+02 -6.93280E-04
4.84614E+02 -6.87754E-05
4.85096E+02  6.48139E-04
4.85578E+02  1.05707E-03
4.86060E+02  1.04603E-03
4.86543E+02  8.48203E-04
4.87025E+02  7.21214E-04
4.87507E+02  6.87556E-04
4.87989E+02  6.34997E-04
4.88471E+02  5.40379E-04
4.88954E+02  4.81013E-04
4.89436E+02  4.83313E-04
