# Data taken from the Leiden Laboratory Ice Database
# Paper: Ehrenfreund and Schlemmer

# H2O:CH3OH:CO2:NH3 0.7:0.7:1:0.7 - 10 K
# https://icedb.strw.leidenuniv.nl/data/53

Freq. Trans.
3.99746E+02 8.29573E-03
4.00228E+02 6.40678E-03
4.00711E+02 6.84031E-03
4.01193E+02 7.83289E-03
4.01675E+02 7.86572E-03
4.02157E+02 7.25653E-03
4.02639E+02 6.04070E-03
4.03122E+02 6.33962E-03
4.03604E+02 6.48634E-03
4.04086E+02 5.16920E-03
4.04568E+02 5.70222E-03
4.05050E+02 7.34483E-03
4.05533E+02 8.95191E-03
4.06015E+02 8.73983E-03
4.06497E+02 1.50992E-02
4.06979E+02 1.10504E-02
4.07461E+02 -6.26406E-03
4.07944E+02 -4.84099E-03
4.08426E+02 1.74083E-04
4.08908E+02 2.87575E-03
4.09390E+02 4.52649E-03
4.09872E+02 3.12246E-03
4.10355E+02 3.04281E-03
4.10837E+02 3.55291E-03
4.11319E+02 3.99998E-03
4.11801E+02 3.17855E-03
4.12283E+02 4.44648E-03
4.12766E+02 3.92686E-03
4.13248E+02 3.93347E-03
4.13730E+02 3.99935E-03
4.14212E+02 4.81528E-03
4.14694E+02 7.85325E-03
4.15177E+02 6.00471E-03
4.15659E+02 4.86787E-03
4.16141E+02 6.63323E-03
4.16623E+02 6.16144E-03
4.17105E+02 5.29854E-03
4.17588E+02 5.53462E-03
4.18070E+02 6.76328E-03
4.18552E+02 4.01725E-03
4.19034E+02 2.71588E-03
4.19516E+02 2.50679E-03
4.19999E+02 2.85985E-03
4.20481E+02 -1.56657E-03
4.20963E+02 -1.71587E-05
4.21445E+02 1.37194E-02
4.21927E+02 1.20128E-02
4.22410E+02 7.84472E-03
4.22892E+02 8.26389E-03
4.23374E+02 7.47196E-03
4.23856E+02 7.24170E-03
4.24339E+02 6.25648E-03
4.24821E+02 5.87176E-03
4.25303E+02 6.16543E-03
4.25785E+02 6.40604E-03
4.26267E+02 6.12085E-03
4.26750E+02 6.84590E-03
4.27232E+02 6.41975E-03
4.27714E+02 7.55623E-03
4.28196E+02 7.50608E-03
4.28678E+02 4.20160E-03
4.29161E+02 3.29441E-03
4.29643E+02 4.15971E-03
4.30125E+02 4.82067E-03
4.30607E+02 5.25424E-03
4.31089E+02 4.61069E-03
4.31572E+02 4.91514E-03
4.32054E+02 5.17179E-03
4.32536E+02 5.53092E-03
4.33018E+02 5.94017E-03
4.33500E+02 6.63572E-03
4.33983E+02 5.52976E-03
4.34465E+02 8.69246E-03
4.34947E+02 8.52465E-03
4.35429E+02 -7.78663E-03
4.35911E+02 -7.03318E-03
4.36394E+02 1.66967E-03
4.36876E+02 1.61313E-03
4.37358E+02 2.44211E-03
4.37840E+02 2.28152E-03
4.38322E+02 3.43519E-03
4.38805E+02 3.70413E-03
4.39287E+02 3.82520E-03
4.39769E+02 3.80793E-03
4.40251E+02 3.97188E-03
4.40733E+02 3.45272E-03
4.41216E+02 2.80939E-03
4.41698E+02 3.72464E-03
4.42180E+02 1.24984E-03
4.42662E+02 -4.76167E-05
4.43144E+02 3.36573E-03
4.43627E+02 4.08268E-03
4.44109E+02 4.10099E-03
4.44591E+02 3.69133E-03
4.45073E+02 3.85507E-03
4.45555E+02 3.88157E-03
4.46038E+02 4.02924E-03
4.46520E+02 4.26672E-03
4.47002E+02 4.16703E-03
4.47484E+02 3.78275E-03
4.47966E+02 3.75463E-03
4.48449E+02 2.71903E-03
4.48931E+02 4.50071E-03
4.49413E+02 1.03283E-02
4.49895E+02 7.62641E-03
4.50377E+02 4.25828E-03
4.50860E+02 4.96384E-03
4.51342E+02 4.26035E-03
4.51824E+02 4.05859E-03
4.52306E+02 4.40429E-03
4.52788E+02 4.56160E-03
4.53271E+02 3.79707E-03
4.53753E+02 3.23825E-03
4.54235E+02 3.47111E-03
4.54717E+02 3.79146E-03
4.55199E+02 3.77879E-03
4.55682E+02 3.27475E-03
4.56164E+02 3.88446E-03
4.56646E+02 5.00457E-03
4.57128E+02 4.31997E-03
4.57611E+02 3.58518E-03
4.58093E+02 3.70509E-03
4.58575E+02 4.30445E-03
4.59057E+02 4.15576E-03
4.59539E+02 3.80898E-03
4.60022E+02 3.50739E-03
4.60504E+02 3.46626E-03
4.60986E+02 3.80075E-03
4.61468E+02 3.72714E-03
4.61950E+02 3.63009E-03
4.62433E+02 4.23099E-03
4.62915E+02 5.04948E-03
4.63397E+02 2.15719E-03
4.63879E+02 1.03147E-03
4.64361E+02 2.75682E-03
4.64844E+02 2.66420E-03
4.65326E+02 2.83978E-03
4.65808E+02 2.93438E-03
4.66290E+02 2.84062E-03
4.66772E+02 2.80594E-03
4.67255E+02 2.97713E-03
4.67737E+02 3.08133E-03
4.68219E+02 3.14919E-03
4.68701E+02 2.76333E-03
4.69183E+02 2.65691E-03
4.69666E+02 3.31814E-03
4.70148E+02 3.35300E-03
4.70630E+02 2.64364E-03
4.71112E+02 2.80521E-03
4.71594E+02 3.07052E-03
4.72077E+02 3.09477E-03
4.72559E+02 3.11717E-03
4.73041E+02 2.93425E-03
4.73523E+02 3.20638E-03
4.74005E+02 3.18711E-03
4.74488E+02 3.20026E-03
4.74970E+02 2.91536E-03
4.75452E+02 2.56136E-03
4.75934E+02 2.86914E-03
4.76416E+02 3.11446E-03
4.76899E+02 2.99315E-03
4.77381E+02 1.35438E-03
4.77863E+02 1.43031E-03
4.78345E+02 2.50189E-03
4.78827E+02 2.37183E-03
4.79310E+02 2.60816E-03
4.79792E+02 2.70830E-03
4.80274E+02 2.70874E-03
4.80756E+02 2.78648E-03
4.81238E+02 2.73657E-03
4.81721E+02 2.47088E-03
4.82203E+02 2.44576E-03
4.82685E+02 2.71669E-03
4.83167E+02 2.67735E-03
4.83649E+02 2.26669E-03
4.84132E+02 2.28440E-03
4.84614E+02 2.63064E-03
4.85096E+02 2.58447E-03
4.85578E+02 2.72449E-03
4.86060E+02 2.80286E-03
4.86543E+02 2.63836E-03
4.87025E+02 2.52768E-03
4.87507E+02 2.32767E-03
4.87989E+02 2.41223E-03
4.88471E+02 2.48894E-03
4.88954E+02 2.56508E-03
4.89436E+02 2.72335E-03
4.89918E+02 2.34837E-03
4.90400E+02 2.06664E-03
4.90883E+02 1.44984E-03
4.91365E+02 1.49249E-03
4.91847E+02 2.91817E-03
4.92329E+02 2.87431E-03
4.92811E+02 2.32160E-03
4.93294E+02 2.42497E-03
4.93776E+02 2.51580E-03
4.94258E+02 2.86023E-03
4.94740E+02 3.11367E-03
4.95222E+02 2.88750E-03
4.95705E+02 2.80530E-03
4.96187E+02 3.02067E-03
4.96669E+02 3.07136E-03
4.97151E+02 2.55500E-03
4.97633E+02 2.47831E-03
4.98116E+02 2.79065E-03
4.98598E+02 2.81235E-03
4.99080E+02 2.73394E-03
4.99562E+02 2.62309E-03
5.00044E+02 2.67535E-03
5.00527E+02 2.75400E-03
5.01009E+02 2.89170E-03
5.01491E+02 2.95471E-03
5.01973E+02 3.01374E-03
5.02455E+02 3.14430E-03
5.02938E+02 3.28432E-03
5.03420E+02 3.22195E-03
5.03902E+02 3.13671E-03
5.04384E+02 2.95646E-03
5.04866E+02 3.24176E-03
5.05349E+02 3.44188E-03
5.05831E+02 2.83382E-03
5.06313E+02 2.65625E-03
5.06795E+02 2.73768E-03
5.07277E+02 2.68566E-03
5.07760E+02 2.67704E-03
5.08242E+02 2.80891E-03
5.08724E+02 2.98152E-03
5.09206E+02 2.96172E-03
5.09688E+02 2.93152E-03
5.10171E+02 3.02159E-03
5.10653E+02 2.97710E-03
5.11135E+02 3.07100E-03
5.11617E+02 3.08555E-03
5.12099E+02 2.89872E-03
5.12582E+02 3.06421E-03
5.13064E+02 3.09057E-03
5.13546E+02 3.04956E-03
5.14028E+02 3.10286E-03
5.14510E+02 3.16599E-03
5.14993E+02 3.17765E-03
5.15475E+02 3.09273E-03
5.15957E+02 3.30185E-03
5.16439E+02 3.59252E-03
5.16921E+02 3.48730E-03
5.17404E+02 3.04604E-03
5.17886E+02 2.97044E-03
5.18368E+02 3.42743E-03
5.18850E+02 3.63485E-03
5.19332E+02 2.84908E-03
5.19815E+02 2.73014E-03
5.20297E+02 3.53303E-03
5.20779E+02 3.65219E-03
5.21261E+02 3.34179E-03
5.21743E+02 3.09213E-03
5.22226E+02 3.30057E-03
5.22708E+02 3.74489E-03
5.23190E+02 3.82222E-03
5.23672E+02 3.66856E-03
5.24154E+02 3.62097E-03
5.24637E+02 3.63522E-03
5.25119E+02 3.65670E-03
5.25601E+02 3.63940E-03
5.26083E+02 3.82469E-03
5.26565E+02 4.17922E-03
5.27048E+02 3.95372E-03
5.27530E+02 3.67158E-03
5.28012E+02 3.79027E-03
5.28494E+02 3.85598E-03
5.28977E+02 3.70926E-03
5.29459E+02 3.63451E-03
5.29941E+02 3.79128E-03
5.30423E+02 3.79810E-03
5.30905E+02 3.90012E-03
5.31388E+02 4.02481E-03
5.31870E+02 3.99812E-03
5.32352E+02 4.01370E-03
5.32834E+02 3.77925E-03
5.33316E+02 3.95779E-03
5.33799E+02 4.77113E-03
5.34281E+02 4.40108E-03
5.34763E+02 4.05153E-03
5.35245E+02 4.29213E-03
5.35727E+02 3.89602E-03
5.36210E+02 3.98599E-03
5.36692E+02 4.52577E-03
5.37174E+02 4.63647E-03
5.37656E+02 4.69875E-03
5.38138E+02 4.66308E-03
5.38621E+02 4.73516E-03
5.39103E+02 4.81186E-03
5.39585E+02 4.89135E-03
5.40067E+02 5.00357E-03
5.40549E+02 5.17543E-03
5.41032E+02 5.10636E-03
5.41514E+02 4.92550E-03
5.41996E+02 4.81248E-03
5.42478E+02 4.74408E-03
5.42960E+02 4.99403E-03
5.43443E+02 5.23000E-03
5.43925E+02 5.31395E-03
5.44407E+02 5.32798E-03
5.44889E+02 5.40058E-03
5.45371E+02 5.37411E-03
5.45854E+02 5.32228E-03
5.46336E+02 5.43123E-03
5.46818E+02 5.35843E-03
5.47300E+02 5.90212E-03
5.47782E+02 5.98641E-03
5.48265E+02 5.12432E-03
5.48747E+02 5.19204E-03
5.49229E+02 5.53595E-03
5.49711E+02 5.45967E-03
5.50193E+02 5.39308E-03
5.50676E+02 5.52336E-03
5.51158E+02 5.49886E-03
5.51640E+02 5.59166E-03
5.52122E+02 5.74286E-03
5.52604E+02 5.78257E-03
5.53087E+02 5.68083E-03
5.53569E+02 5.45728E-03
5.54051E+02 5.65344E-03
5.54533E+02 5.89643E-03
5.55016E+02 5.75730E-03
5.55498E+02 5.69233E-03
5.55980E+02 6.06534E-03
5.56462E+02 6.19872E-03
