# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:10:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
50.153	95.270	1.6926	-0.062600
51.117	95.260	1.7192	-0.058431
52.082	95.040	1.7339	0.0000
53.046	95.020	1.7249	0.0000
54.011	95.020	1.7169	0.0000
54.975	95.110	1.7154	0.0000
55.940	95.210	1.7314	-0.043186
56.904	95.080	1.7433	0.0000
57.869	95.070	1.7436	0.0000
58.833	95.010	1.7398	0.0000
59.798	95.140	1.7454	-0.027224
60.762	94.964	1.7466	0.0055671
61.727	95.160	1.7512	-0.030012
62.691	94.954	1.7570	0.0069783
63.656	95.120	1.7627	0.0000
64.620	94.829	1.7611	0.028158
65.585	95.060	1.7556	0.0000
66.549	95.020	1.7704	0.0000
67.514	95.080	1.7971	0.0000
68.478	94.399	1.7859	0.094962
69.442	94.517	1.7343	0.077564
70.406	94.881	1.7220	0.018166
71.371	95.010	1.7411	0.0000
72.335	94.953	1.7621	0.0058012
73.300	94.677	1.7592	0.047680
74.264	94.762	1.7453	0.034657
75.229	94.798	1.7418	0.028901
76.193	94.916	1.7490	0.010969
77.158	94.723	1.7490	0.038826
78.122	94.873	1.7442	0.016882
79.087	94.893	1.7517	0.013674
80.051	94.929	1.7649	0.0082388
81.016	94.621	1.7614	0.050503
81.980	94.788	1.7505	0.027447
82.945	94.774	1.7516	0.028956
83.909	94.810	1.7515	0.023784
84.874	94.863	1.7569	0.016382
85.838	94.751	1.7565	0.030731
86.803	94.918	1.7597	0.0088401
87.767	94.774	1.7645	0.026847
88.732	94.826	1.7623	0.020050
89.696	94.764	1.7548	0.027700
90.661	95.290	1.7743	-0.037065
91.625	94.852	1.8011	0.015295
92.590	94.741	1.7985	0.028217
93.554	94.613	1.7876	0.043239
94.519	94.911	1.7890	0.0081255
95.483	94.832	1.8049	0.016679
96.448	94.753	1.8141	0.025094
97.412	94.609	1.8166	0.040715
98.377	94.629	1.8187	0.037987
99.341	94.566	1.8267	0.044098
100.31	94.291	1.8221	0.073493
101.27	94.458	1.8155	0.055180
102.24	94.445	1.8207	0.055745
103.20	94.628	1.8385	0.035331
104.16	94.320	1.8621	0.065386
105.13	93.946	1.8749	0.10165
106.09	92.900	1.8274	0.21238
107.06	93.772	1.7758	0.12525
108.02	94.119	1.7818	0.087746
108.99	94.237	1.8046	0.073577
109.95	93.946	1.8184	0.10096
110.91	93.686	1.8086	0.12659
111.88	93.804	1.7964	0.11478
112.84	93.955	1.7963	0.098945
113.81	94.007	1.8084	0.092170
114.77	93.781	1.8119	0.11274
115.74	93.833	1.8130	0.10672
