# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:50:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
50.153	100.19	1.6006	-0.046400
51.117	100.25	1.6227	-0.059069
52.082	100.09	1.6414	0.0000
53.046	100.06	1.6390	0.0000
54.011	100.03	1.6326	0.0000
54.975	100.15	1.6362	-0.032916
55.940	100.12	1.6494	-0.025816
56.904	100.07	1.6538	0.0000
57.869	100.11	1.6620	0.0000
58.833	99.960	1.6641	0.0074589
59.798	100.01	1.6630	0.0000
60.762	99.816	1.6512	0.035413
61.727	100.03	1.6416	0.0000
62.691	99.968	1.6435	0.0056167
63.656	100.18	1.6563	-0.033843
64.620	99.939	1.6648	0.010506
65.585	100.12	1.6691	0.0000
66.549	99.944	1.6785	0.0091207
67.514	100.06	1.6903	0.0000
68.478	99.669	1.6881	0.055341
69.442	99.753	1.6652	0.041199
70.406	99.837	1.6617	0.026651
71.371	99.839	1.6649	0.025867
72.335	99.808	1.6656	0.030533
73.300	99.794	1.6633	0.032426
74.264	99.845	1.6661	0.023836
75.229	99.749	1.6672	0.038495
76.193	99.784	1.6669	0.032594
77.158	99.605	1.6564	0.059955
78.122	99.788	1.6421	0.031798
79.087	99.970	1.6505	0.0038781
80.051	100.07	1.6779	0.0000
81.016	99.696	1.6866	0.042689
81.980	99.763	1.6786	0.032882
82.945	99.716	1.6792	0.039083
83.909	99.702	1.6781	0.040606
84.874	99.687	1.6779	0.042197
85.838	99.673	1.6780	0.043612
86.803	99.659	1.6784	0.044981
87.767	99.644	1.6788	0.046455
88.732	99.630	1.6793	0.047756
89.696	99.616	1.6799	0.049030
90.661	99.601	1.6806	0.050396
91.625	99.587	1.6811	0.051612
92.590	99.573	1.6816	0.052807
93.554	99.575	1.6828	0.051938
94.519	99.560	1.6850	0.053166
95.483	99.546	1.6869	0.054237
96.448	99.532	1.6892	0.055269
97.412	99.517	1.6917	0.056389
98.377	99.503	1.6952	0.057315
99.341	99.489	1.7006	0.058126
100.31	99.376	1.7034	0.070465
101.27	99.378	1.7037	0.069516
102.24	99.282	1.7039	0.079714
103.20	99.399	1.7100	0.065505
104.16	99.155	1.7154	0.091606
105.13	99.157	1.7172	0.090404
106.09	98.815	1.7053	0.12788
107.06	99.112	1.6965	0.094960
108.02	99.032	1.7014	0.10240
108.99	99.099	1.7115	0.093622
109.95	98.790	1.7176	0.12489
110.91	98.481	1.6974	0.15829
111.88	98.696	1.6765	0.13617
112.84	98.911	1.6756	0.11243
113.81	98.929	1.6873	0.10869
114.77	98.751	1.6891	0.12590
115.74	98.786	1.6890	0.12127
116.70	98.657	1.6851	0.13366
117.67	98.823	1.6887	0.11555
118.63	98.563	1.6896	0.14041
119.59	98.679	1.6869	0.12803
120.56	98.485	1.6852	0.14622
121.52	98.684	1.6848	0.12566
122.49	98.456	1.6893	0.14628
123.45	98.491	1.6860	0.14208
124.42	98.345	1.6838	0.15513
125.38	98.446	1.6800	0.14471
126.35	98.399	1.6853	0.14748
127.31	98.270	1.6838	0.15859
