# Data taken from the Leiden Laboratory Ice Database
# Paper: Öberg et al, DOI: 10.1051/0004-6361:20065881

# Pure H2O (3000 L) - 15 K
# https://icedb.strw.leidenuniv.nl/data/14

Freq. Trans.
399.264 0.0318714
400.228 0.0295955
401.193 -0.00198048
402.157 -0.00619687
403.122 -0.00304933
404.086 -0.00240130
405.050 -0.00454305
406.015 -0.00593799
406.979 -0.00249553
407.944 0.000532178
408.908 0.00104601
409.872 0.00223863
410.837 0.000755547
411.801 0.000831582
412.766 0.00240252
413.730 0.0107789
414.694 0.0109950
415.659 -0.00191602
416.623 -0.00340287
417.588 -0.00287313
418.552 -0.00314119
419.516 -0.00164271
420.481 -0.00418263
421.445 -0.00479686
422.410 -0.00107016
423.374 -0.00131789
424.339 -0.000697523
425.303 -0.000112082
426.267 -0.00171856
427.232 -0.00299393
428.196 -0.00186339
429.161 -0.00100097
430.125 0.000149408
431.089 0.00102301
432.054 0.00107094
433.018 0.00218921
433.983 0.00764708
434.947 0.0167856
435.911 0.00804144
436.876 -0.00181207
437.840 -0.00176159
438.805 -0.00310967
439.769 -0.00201473
440.733 -0.00281045
441.698 -0.000435966
442.662 0.00739132
443.627 0.00512184
444.591 0.000753368
445.555 0.00146493
446.520 0.000903596
447.484 0.000650149
448.449 0.000951363
449.413 -0.000240695
450.377 -0.000956833
451.342 -0.000555500
452.306 -0.00112017
453.271 -0.00128327
454.235 -0.000998426
455.199 -0.00114906
456.164 -0.000670395
457.128 0.000491104
458.093 0.000556355
459.057 0.000364614
460.022 -0.000149666
460.986 -3.99281e-05
461.950 0.00103727
462.915 0.000967309
463.879 0.000153956
464.844 8.92393e-06
465.808 -9.80399e-05
466.772 -0.000295343
467.737 0.000361184
468.701 0.000952030
469.666 0.000767796
470.630 -6.15688e-05
471.594 -0.000626875
472.559 -3.45195e-05
473.523 0.000448355
474.488 0.000787020
475.452 0.000845853
476.416 0.00135381
477.381 -0.00124585
478.345 -0.00246337
479.310 -0.000276115
480.274 0.000395076
481.238 0.000673138
482.203 0.000770240
483.167 0.000841810
484.132 0.000555832
485.096 0.000246232
486.060 0.000751851
487.025 0.00116495
487.989 0.00112721
488.954 0.00103035
489.918 0.000715839
490.883 -0.000380372
491.847 -0.000369395
492.811 0.000947703
493.776 0.00177135
494.740 0.00184505
495.705 0.00162142
496.669 0.00175240
497.633 0.00192553
498.598 0.00113970
499.562 0.000655338
500.527 0.00100139
501.491 0.00143242
502.455 0.00163311
503.420 0.00191423
504.384 0.00217750
505.349 0.00119129
506.313 0.00122268
507.277 0.00190968
508.242 0.00175294
509.206 0.00142251
510.171 0.00155694
511.135 0.00196163
512.099 0.00138476
513.064 0.000817069
514.028 0.00106650
514.993 0.00131301
515.957 0.00166334
516.921 0.00179262
517.886 0.00192625
518.850 0.00182126
519.815 0.00184237
